Course Code,Branch,Type,NCode,Semester,Course Name,Status
CSC301,CS,C,301,3,Applied Mathematics -III ,active
CSC302,CS,C,302,3,Digital Logic Design and Analysis ,active
CSC303,CS,C,303,3,Discrete Mathematics  ,active
CSC304,CS,C,304,3,Electronic Circuits and Communication Fundamentals ,active
CSC305,CS,C,305,3,Data Structures ,active
CSL301,CS,L,301,3,Digital System Lab ,active
CSL302,CS,L,302,3,Basic Electronics Lab ,active
CSL303,CS,L,303,3,Data structure Lab ,active
CSL304,CS,L,304,3,OOPM(Java) Lab ,active
CSC401,CS,C,401,4,Applied Mathematics- IV,active
CSC402,CS,C,402,4,Analysis of Algorithms ,active
CSC403,CS,C,403,4,Computer Organization and Architecture ,active
CSC404,CS,C,404,4,Computer Graphics ,active
CSC405,CS,C,405,4,Operating System ,active
CSL401,CS,L,401,4,Analysis of Algorithms Lab ,active
CSL402,CS,L,402,4,Computer Graphics Lab ,active
CSL403,CS,L,403,4,Processor Architecture Lab ,active
CSL404,CS,L,404,4,Operating System Lab ,active
CSL405,CS,L,405,4,Open Source Tech Lab ,active
CSC501,CS,C,501,5,Microprocessor ,active
CSC502,CS,C,502,5,Database Management System ,active
CSC503,CS,C,503,5,Computer Network ,active
CSC504,CS,C,504,5,Theory of Computer Science ,active
CSDLO5011,CS,DLO,5011,5,Multimedia System,active
CSDLO5012,CS,DLO,5012,5,Advance Operating System,active
CSDLO5013,CS,DLO,5013,5,Advance Algorithm,active
CSL501,CS,L,501,5,Microprocessor Lab ,active
CSL502,CS,L,502,5,Computer Network Lab ,active
CSL503,CS,L,503,5,Database & Info. System Lab ,active
CSL504,CS,L,504,5,Web Design Lab ,active
CSL505,CS,L,505,5,Business Comm. & Ethics ,active
CSC601,CS,C,601,6,Software Engineering ,active
CSC602,CS,C,602,6,System Programming & Complier Construction  ,active
CSC603,CS,C,603,6,Data Warehousing & Mining  ,active
CSC604,CS,C,604,6,Cryptography & System Security  ,active
CSDLO6021,CS,DLO,6021,6,Machine Learning,active
CSDLO6022,CS,DLO,6022,6,Advance Database System,active
CSDLO6023,CS,DLO,6023,6,Enterprise Resource Planning,active
CSDLO6024,CS,DLO,6024,6,Advance Computer Network,active
CSL601,CS,L,601,6,Software Engineering Lab  ,active
CSL602,CS,L,602,6,System software Lab  ,active
CSL603,CS,L,603,6,Data Warehousing & Mining Lab ,active
CSL604,CS,L,604,6,System Security Lab ,active
CSP605,CS,P,605,6,Mini-Project ,active
CSC701,CS,C,701,7,Digital Signal & Image Processing ,active
CSC702,CS,C,702,7,Mobile Communication & Computing  ,active
CSC703,CS,C,703,7,Artificial Intelligence & Soft Computing ,active
CSDLO7031,CS,DLO,7031,7,Advance System Security & Digital Forensics,active
CSDLO7032,CS,DLO,7032,7,Big Data & Analytic,active
CSDLO7033,CS,DLO,7033,7,Robotics,active
CSILO7011,CS,ILO,7011,7,Product Lifecycle Management,active
CSILO7012,CS,ILO,7012,7,Reliability Engineering,active
CSILO7013,CS,ILO,7013,7,Management Information System,active
CSILO7014,CS,ILO,7014,7,Design of Experiments,active
CSILO7015,CS,ILO,7015,7,Operation Research,active
CSILO7016,CS,ILO,7016,7,Cyber Security and Laws,active
CSILO7017,CS,ILO,7017,7,Disaster Management & Mitigation Measures,active
CSILO7018,CS,ILO,7018,7,Energy Audit and Management,active
CSILO7019,CS,ILO,7019,7,Development Engineering,active
CSL701,CS,L,701,7,Digital Signal & Image Processing Lab   ,active
CSL702,CS,L,702,7,Mobile App. Development. Tech. Lab   ,active
CSL703,CS,L,703,7,Artificial Intelligence & Soft Computing Lab  ,active
CSL704,CS,L,704,7,Computational Lab-I ,active
CSP705,CS,P,705,7,Major Project-I ,active
CSC801,CS,C,801,8,Human Machine Interaction ,active
CSC802,CS,C,802,8,Distributed Computing  ,active
CSDLO8011,CS,DLO,8011,8,High Performance Computing,active
CSDLO8012,CS,DLO,8012,8,Natural Language Processing,active
CSDLO8013,CS,DLO,8013,8,Adhoc Wireless Network,active
CSILO8021,CS,ILO,8021,8,Project Management,active
CSILO8022,CS,ILO,8022,8,Finance Management,active
CSILO8023,CS,ILO,8023,8,Entrepreneurship Development and Management,active
CSILO8024,CS,ILO,8024,8,Human Resource Management,active
CSILO8025,CS,ILO,8025,8,Professional Ethics and CSR,active
CSILO8026,CS,ILO,8026,8,Research Methodology,active
CSILO8027,CS,ILO,8027,8,IPR and Patenting,active
CSILO8028,CS,ILO,8028,8,Digital Business Management,active
CSILO8029,CS,ILO,8029,8,Environmental Management,active
CSL801,CS,L,801,8,Human Machine Interaction Lab ,active
CSL802,CS,L,802,8,Distributed Computing Lab ,active
CSL803,CS,L,803,8,Cloud Computing Lab ,active
CSL804,CS,L,804,8,Computational Lab-II ,active
